chapter,question,choice1,choice2,choice3,choice4,answer,explanation,explanation1,explanation2,explanation3,explanation4
1章：AI,ニューロンについて、以下の選択肢から適切なものを選べ。,入力信号を受け、重み付けと活性化関数で処理する能動的な演算ユニット,情報を一方向に伝達するパッシブな単位,単にデータを転送するノード,学習時のみ活性化するユニット,1,ニューロンは、入力信号を受け取り、重みと活性化関数を通じて情報を処理する能動的な演算ユニットです。,② 正解。能動的な処理が本質です。,① 単なる伝達ではなく、処理が行われます。,③ 転送のみではありません。,④ 学習時に限定されません。
1章：AI,ノーフリーランチ定理について、以下の選択肢から適切なものを選べ。,どのアルゴリズムも全問題に対して一律に最適ではなく、タスクによって最適なアルゴリズムは異なる,全てのアルゴリズムは平均すると同等の性能を示す,ある特定タスクに対してのみ最適なアルゴリズムが存在する,単一のアルゴリズムが全問題で最も効率的である,1,ノーフリーランチ定理は、どのアルゴリズムもすべての問題に対して最適ではないことを示し、タスクごとに適した手法が必要であると説いています。,③ 正解。タスク依存性が本質です。,② 平均同等という主張は誤りです。,① 特定タスクのみでは不十分です。,④ 万能アルゴリズムは存在しません。
1章：AI,半教師あり学習について、以下の選択肢から適切なものを選べ。,ラベル付きデータとラベルなしデータを組み合わせて学習する手法,ラベル付きデータのみを利用する手法,ラベルなしデータのみでクラスタリングを行う手法,強化学習の一種として報酬を用いる手法,1,半教師あり学習は、少量のラベル付きデータと大量のラベルなしデータを組み合わせることで、効率的に学習を進める手法です。,① 正解。両データを併用する点が特徴です。,② 不正解：これは教師あり学習です。教師あり学習はラベル付きデータのみを使用します。,③ 不正解：これは教師なし学習、特にクラスタリングの手法です。,④ 不正解：これは強化学習の手法で、報酬に基づいて学習します。
1章：AI,強化学習について、以下の選択肢から適切なものを選べ。,エージェントが環境との相互作用を通じて、報酬を最大化する行動を学習する手法,大量の教師データを基に学習する手法,ラベルなしでデータのクラスタリングを行う手法,データの特徴抽出に特化した手法,1,強化学習は、エージェントが環境との相互作用から得られる報酬を最大化するために行動を学習する手法です。,① 正解。環境との相互作用が基本です。,② 不正解：これは教師あり学習の手法です。,③ 不正解：これは教師なし学習、クラスタリングの手法です。,④ 不正解：特徴抽出のみが目的ではありません。
1章：AI,次元削減について、以下の選択肢から適切なものを選べ。,データの本質的構造を保持しながら次元を削減する技術,高次元データのノイズを除去する技術,データを増やして高次元空間にマッピングする技術,特徴量の自動生成を行う技術,1,次元削減は、データの重要な情報をできるだけ保ちつつ、次元数を減らして計算効率や視覚化を向上させる技術です。,② 正解。情報保持しながら次元を削減します。,① ノイズ除去とは目的が異なります。,③ 逆の操作です。,④ 特徴生成とは異なります。
1章：AI,クラスタリングについて、以下の選択肢から適切なものを選べ。,データ間の類似性に基づいて自然にグループ化する教師なし学習手法,事前に定義されたクラスに割り当てる手法,データを既存のラベルに従って分類する手法,新たなデータ特徴を生成する手法,1,クラスタリングは、ラベルなしデータに対して、データ間の類似性をもとに自動的にグループ化する教師なし学習手法です。,③ 正解。ラベルなしでグループ化します。,② 不正解：事前定義された分類は教師あり学習です。,① 不正解：これは教師あり分類です。,④ 不正解：これは特徴生成とは異なります。
1章：AI,教師なし学習について、以下の選択肢から適切なものを選べ。,ラベルなしデータから内在するパターンを発見する手法,ラベル付きデータを使用する手法,報酬に基づいた学習手法,外部の指示に従って学習する手法,1,教師なし学習は、ラベルのないデータから隠れたパターンや構造を自動的に見出す手法です。,② 正解。ラベルなしでパターン抽出を行います。,① 不正解：これは教師あり学習です。,③ 不正解：これは強化学習の手法です。,④ 不正解：これは教師あり学習に近い手法です。
1章：AI,教師あり学習について、以下の選択肢から適切なものを選べ。,入力データとその正解（ラベル）のペアを用いて学習する手法,データ間の類似性を分析する手法,環境との相互作用を通じて学習する手法,ラベルなしデータを用いる手法,1,教師あり学習は、入力データと正解ラベルのペアを用いて、モデルのパラメータを最適化する手法です。,④ 正解。正解ラベルを利用して学習します。,② 不正解：これはクラスタリングなどの手法です。,③ 不正解：これは強化学習の手法です。,① 不正解：これは教師なし学習です。
1章：AI,学習済みモデルについて、以下の選択肢から適切なものを選べ。,特定タスクに対して十分な学習が完了したモデル,学習プロセスが始まったばかりの初期モデル,まだ訓練が不十分な途中段階のモデル,テスト専用に調整されたモデル,1,学習済みモデルとは、あるタスクに対して必要な学習が完了しており、実際に予測や分類に使用できる状態のモデルです。,② 正解。十分に学習済みのモデルです。,① 初期段階のモデルではありません。,③ 途中段階のものではありません。,④ 評価用と区別されます。
1章：AI,機械学習について、以下の選択肢から適切なものを選べ。,データからパターンや規則性を自動的に学習し、予測や意思決定を行う技術,人間が明示的にルールをプログラムする技術,単なる統計解析に基づくデータ処理手法,固定的なアルゴリズムによる情報処理システム,1,機械学習は、データから自動的にパターンを抽出し、学習・予測を行う技術です。,① 正解。自動学習が本質です。,② 不正解：これは『ルールベース』プログラミングの手法です。ルールベースは、あらかじめ定義された規則に従います。,③ 不正解：単なる統計解析だけでは機械学習の自動学習性は実現できません。,④ 不正解：固定的なアルゴリズムは柔軟性に欠けます。
1章：AI,ルールベースについて、以下の選択肢から適切なものを選べ。,あらかじめ定義されたif-thenルールに基づいて動作するシステム,データから自動的に規則を抽出するシステム,統計的な学習に基づく意思決定システム,ニューラルネットワークを用いた学習システム,1,ルールベースシステムは、専門家があらかじめ定義したif-thenルールに従って動作し、問題解決を行います。,① 正解。事前定義された規則が特徴です。,② 不正解：これはデータ駆動型の学習手法に近く、ルールベースとは異なります。,③ 不正解：統計的学習とは異なります。,④ 不正解：これはディープラーニング、すなわちニューラルネットワークを用いる手法であり、ルールベースとは全く異なります。
1章：AI,ダートマス会議について、以下の選択肢から適切なものを選べ。,1956年に開催され、AIという概念と用語が初めて公に提唱された歴史的会議,1980年代のAIブームの転機となった会議,1960年代に開催され、エキスパートシステムの発展に寄与した会議,2000年代に行われた、ディープラーニング進展を示す会議,1,ダートマス会議は、1956年に開催され、人工知能という用語が初めて用いられた歴史的な会議です。,③ 正解。1956年の会議が起点です。,② 1980年代は第二次ブームの時期です。,① 1960年代ではありません。,④ 2000年代は該当しません。
1章：AI,AI(人工知能)について、以下の選択肢から適切なものを選べ。,人間の知的活動（学習、推論、認識など）を模倣し実現する技術全般,物理的なロボット工学のみを指す技術,統計的なデータ分析に基づくシステム,単純なデータ処理を高速に行う技術,1,AIは、人間の知的プロセスを模倣し、学習・推論・認識などを実現する技術の総称です。,④ 正解。知的活動全般を含みます。,② ロボット工学は一部に過ぎません。,③ 統計解析だけでは表現できません。,① データ処理のみでは不十分です。
1章：AI,AGI(強いAI)について、以下の選択肢から適切なものを選べ。,人間並みまたはそれ以上の汎用的知能を持つAI,特定のタスクに特化したAI,シンプルなデータ処理を行うAI,自己学習機能のみを備えた限定的なAI,1,AGIは、あらゆるタスクに柔軟に対応できる汎用的な知能を持つ理想的なAIです。,② 正解。汎用性がAGIの定義です。,① 不正解：これは特定タスクに特化したANI(弱いAI)の説明です。AGIはより広範な知能を求められます。,③ 不正解：単純なデータ処理では汎用性は実現できません。,④ 不正解：限定的な機能ではAGIとは言えません。
1章：AI,ANI(弱いAI)について、以下の選択肢から適切なものを選べ。,特定のタスクに限定された機能を持つ、現実に普及しているAIシステム,あらゆるタスクを解決できる万能AI,人間と同等以上の知能を持つAI,自己進化し続けるAI,1,ANIは、特定のタスクに特化して設計された現実的なAIシステムであり、万能ではありません。,③ 正解。限定された機能が現実のANIの特徴です。,② 不正解：万能なAIは存在せず、あくまでAGIの理想です。,① 不正解：これはAGIの定義に近いですが、現実のANIは限定的です。,④ 不正解：自己進化するAIは現状のANIの特徴ではありません。
1章：AI,特徴量について、以下の選択肢から適切なものを選べ。,データ中の有用な特性や属性を数値化したもの,データの形式や型を示す情報,データを保存するための構造,モデルの出力を調整するパラメータ,1,特徴量は、機械学習モデルの入力として利用される、データ中の有用な特性を定量化したものです。,② 正解。特徴抽出が目的です。,① 形式や型は別の情報です。,③ 保存用構造ではありません。,④ 出力調整はパラメータの役割です。
1章：AI,ビッグデータについて、以下の選択肢から適切なものを選べ。,大量かつ多様で高速処理が求められるデータ群,小規模で整然としたデータ集合,構造化データのみを扱うデータ群,単一種類のデータのみからなるデータ群,1,ビッグデータは、従来の手法では処理が難しいほど大規模かつ多様なデータ群を指し、Volume、Variety、Velocityの3Vで特徴付けられます。,① 正解。大規模・多様なデータが特徴です。,② 小規模ではありません。,③ 構造化・非構造化両方を含みます。,④ 単一種類ではありません。
1章：AI,第三次AIブームについて、以下の選択肢から適切なものを選べ。,ディープラーニングの進展とビッグデータ、計算能力向上により再注目された現代のAIブーム,初期のルールベースシステムが注目された時期,1960年代のシンボリックAIの時代,完全なAGI実現を目指す研究の時代,1,第三次AIブームは、ディープラーニングの進展と計算資源の向上により、現代のAIが急速に発展した時期です。,② 正解。現代技術革新が背景です。,① ルールベースは第一次や第二次の特徴です。,③ 1960年代はシンボリックAIの時代です。,④ AGIは未実現です。
1章：AI,AIの冬について、以下の選択肢から適切なものを選べ。,AI研究への投資や関心が低下し、開発が停滞した時期,AI技術が急速に発展した時期,AIが実用化され始めた時期,AIに関する法整備が進んだ時期,1,AIの冬とは、技術的限界や期待外れにより、AI研究への投資や関心が大幅に低下した期間を指します。,① 正解。停滞期の特徴です。,② 急速な発展期ではありません。,③ 実用化が進む時期ではありません。,④ 法整備とは無関係です。
1章：AI,エキスパートシステムについて、以下の選択肢から適切なものを選べ。,専門家の知識をルール化して問題解決に応用するシステム,大量のデータを用いて自動学習するシステム,単一アルゴリズムによる意思決定システム,ニューラルネットワークに基づく自己学習システム,1,エキスパートシステムは、専門家の知識をあらかじめ定義されたif-thenルールとして実装し、問題解決を行うシステムです。,① 正解。ルール化された知識が特徴です。,② 不正解：これは機械学習、特に自動学習システムの説明です。,③ 不正解：単一アルゴリズムではありません。,④ 不正解：これはディープラーニングの一例であり、エキスパートシステムとは異なります。
1章：AI,第二次AIブームについて、以下の選択肢から適切なものを選べ。,エキスパートシステムや知識工学が注目された1980年代の時期,ディープラーニングにより再興した現代のブーム,初期のパーセプトロンブーム,2010年代のビッグデータ活用ブーム,1,第二次AIブームは、1980年代にエキスパートシステムや知識工学の発展により、実用的なAIシステムが構築された時期です。,① 正解。エキスパートシステムが中心でした。,② 現代のブームは第三次です。,③ 初期のパーセプトロンは第一次です。,④ 2010年代はまた別の時期です。
1章：AI,推論について、以下の選択肢から適切なものを選べ。,既知の情報や規則から新たな結論を論理的に導く過程,大量のデータを単純に処理する行程,データの保存と管理を行う過程,プログラムの実行手順を示す過程,1,推論は、既存の知識や規則を基に、新たな結論や知識を導出する論理的な過程です。,① 正解。論理的導出が本質です。,② 単純処理ではありません。,③ 保存管理はデータベースの役割です。,④ 実行手順はプログラムフローの問題です。
1章：AI,探索について、以下の選択肢から適切なものを選べ。,問題解決のために可能な選択肢を体系的に調査する手法,ランダムに解を試す手法,既存のデータからパターンを抽出する手法,データベース内の情報を検索する手法,1,探索は、問題解決のために可能な選択肢を体系的に検討し、最適な解を見つけ出すプロセスです。,② 正解。体系的な調査が特徴です。,① ランダムな試行ではありません。,③ パターン抽出はクラスタリングの手法です。,④ 単なる検索とは異なります。
1章：AI,第一次AIブームについて、以下の選択肢から適切なものを選べ。,1950年代後半から1960年代初頭にかけて、探索と推論を中心に進められた初期のAI研究の時期,1980年代のエキスパートシステムの時代,現在のディープラーニングによるブーム,2000年代のビッグデータ時代,1,第一次AIブームは、1950年代～1960年代に、探索や推論を中心とした初期のAI研究が盛んだった時期です。,① 正解。初期研究が特徴です。,② 1980年代は第二次の特徴です。,③ 現代は第三次です。,④ 2000年代は別の時期です。
1章：AI,AI効果について、以下の選択肢から適切なものを選べ。,AI技術が普及するにつれて、その存在が当たり前になり、革新性が薄れる現象,AI導入による経済効果の波及現象,AIの性能が指数関数的に向上する現象,AIが学習した結果、自己改善する現象,1,AI効果は、かつては画期的とされたAI技術が一般化するにつれて、その革新性が評価されなくなる現象を指します。,③ 正解。普及により「AIではない」と判断される現象です。,② 経済効果とは異なります。,① 性能向上とは別問題です。,④ 自己改善は別の概念です。
1章：AI,2045年問題について、以下の選択肢から適切なものを選べ。,レイ・カーツワイルが予測した、AIが人間の知能を超えるシンギュラリティ到来の時期,地球温暖化による環境問題の臨界点,人口動態の転換点,経済危機が顕在化する時期,1,2045年問題は、未来学者レイ・カーツワイルが予測した、技術的特異点（シンギュラリティ）の到来時期に関連する議論です。,① 正解。シンギュラリティが主題です。,② 地球温暖化は対象外です。,③ 人口動態は関係ありません。,④ 経済危機も対象外です。
1章：AI,レイ・カーツワイルについて、以下の選択肢から適切なものを選べ。,シンギュラリティ到来を2045年と予測した未来学者,シンギュラリティの概念を最初に提唱した数学者,初期のニューラルネットワークの開発者,コンピュータのハードウェア設計者,1,レイ・カーツワイルは、技術の指数関数的進展を予測し、シンギュラリティの到来時期を2045年と主張した未来学者です。,② 正解。未来学者としての予測が特徴です。,① 数学者ではありません。,③ 開発者ではありません。,④ ハードウェア設計は専門外です。
1章：AI,ヴァーナー・ヴィンジについて、以下の選択肢から適切なものを選べ。,シンギュラリティという概念を広めたSF作家・研究者,ディープラーニングの先駆者,インターネットの発明者,シンギュラリティの概念を最初に提唱した数学者,1,ヴァーナー・ヴィンジは、シンギュラリティの概念を提唱し、広めたSF作家・研究者です。,④ 正解。概念普及に貢献しました。,② ディープラーニング先駆者ではありません。,③ インターネット発明者ではありません。,① 数学者ではありません。
1章：AI,シンギュラリティ(技術的特異点)について、以下の選択肢から適切なものを選べ。,AIが人間の知能を超え、急激な技術革新が起こる転換点,コンピュータの処理速度が物理的限界に達する現象,インターネット普及率が臨界点に達する現象,デジタル情報が全て集約される現象,1,シンギュラリティは、AIが人間の知能を超え、予測不可能な急速な技術進展をもたらす転換点を意味します。,② 正解。知能超越と急速な革新が本質です。,① 物理的速度の限界ではありません。,③ インターネット普及は対象外です。,④ 情報集約とは異なります。
2章：生成AI,ALBERT (a Lite BERT)について、以下の選択肢から適切なものを選べ。,BERTを軽量化しつつ同等の性能を維持する言語モデル,画像認識に特化した軽量モデル,音声認識用のコンパクトなモデル,大規模なデータ圧縮を行うモデル,1,ALBERTは、BERTモデルのパラメータを削減し、計算効率を向上させると同時に、同等の性能を維持することを目的とした言語モデルです。,② 正解。軽量かつ高性能が特徴です。,① 画像認識は対象外です。,③ 音声認識は目的外です。,④ データ圧縮とは異なります。
2章：生成AI,RoBERTaについて、以下の選択肢から適切なものを選べ。,BERTの学習手法を改良し、より最適な性能を実現した言語モデル,画像生成に特化したモデル,音声合成用のモデル,テキスト要約専用のモデル,1,RoBERTaは、BERTの事前学習プロセスを最適化し、性能向上を実現した言語モデルです。,① 正解。学習手法改良が鍵です。,② 画像生成は対象外です。,③ 音声合成は目的外です。,④ テキスト要約専用ではありません。
2章：生成AI,NSP (Next Sentence Prediction)について、以下の選択肢から適切なものを選べ。,二つの文が元々連続しているかどうかを判断するタスク,文章全体の要約を行うタスク,各単語の品詞を予測するタスク,文中の隠された単語を予測するタスク,1,NSPは、BERTの事前学習タスクのひとつで、二つの文が連続しているか否かを判断することで文脈を学習します。,④ 正解。連続性の判断が目的です。,② 要約タスクではありません。,③ 品詞予測は異なるタスクです。,① これはMLMのタスクです。
2章：生成AI,MLM (Masked Language Model)について、以下の選択肢から適切なものを選べ。,文章中の一部単語を隠し、その単語を予測することで文脈を学習する手法,文章全体の生成を行う手法,文章の要約を作成する手法,各単語の出現確率を直接計算する手法,1,MLMは、文章中の特定の単語をマスクし、その隠された単語を予測することで文脈情報を学習する手法です。,① 正解。マスクされた単語の予測が目的です。,② 文章生成は別タスクです。,③ 要約は対象外です。,④ 直接計算ではなく予測タスクです。
2章：生成AI,BERTモデルについて、以下の選択肢から適切なものを選べ。,双方向の文脈を考慮し、豊富な事前学習で文脈理解を実現する言語モデル,画像認識に特化したTransformerモデル,一方向の文脈を考慮する事前学習済みモデル,機械翻訳専用のTransformerモデル,1,BERTは、Transformerのエンコーダ構造を基盤に、双方向の文脈情報を利用して言語理解を実現するモデルです。,③ 正解。双方向文脈が特徴です。,② 画像認識は対象外です。,① 一方向ではなく双方向です。,④ 機械翻訳専用ではありません。
2章：生成AI,Open AIについて、以下の選択肢から適切なものを選べ。,ChatGPTやGPTシリーズを開発したAI研究企業,Googleの親会社,Microsoftの子会社,Metaの研究部門,1,Open AIは、GPTシリーズやChatGPTなどの革新的な言語モデルを開発しているAI研究企業です。,① 正解。先進的な言語モデルが特徴です。,② Googleとは異なります。,③ Microsoftの子会社ではありません。,④ Metaの部門ではありません。
2章：生成AI,GPTモデルについて、以下の選択肢から適切なものを選べ。,大規模な言語モデルであり、文章生成や理解に優れたTransformerベースのモデル,画像生成を目的としたTransformerモデル,データ圧縮専用のモデル,分類タスクに特化した小規模モデル,1,GPTモデルは、Transformerのデコーダ構造を利用した大規模な言語モデルで、自然な文章生成や多様なタスクに対応します。,② 正解。自然言語処理に優れたモデルです。,① 画像生成は対象外です。,③ 圧縮専用ではありません。,④ 小規模モデルではありません。
2章：生成AI,アーキテクチャについて、以下の選択肢から適切なものを選べ。,システムやモデルの基本設計・構造を定義する概念,具体的なプログラムコードの実装手法,データ保存や管理の方式,ユーザーインターフェースのデザイン手法,1,アーキテクチャは、システムやモデルの構成要素とその相互関係を定義する基本設計概念です。,① 正解。基本設計の概念です。,② 実装手法とは異なります。,③ データ管理は含みません。,④ UIデザインは無関係です。
2章：生成AI,位置エンコーディングについて、以下の選択肢から適切なものを選べ。,系列データの位置情報を数値的に表現して順序を保持する技術,データ圧縮技術の一種,画像のエンコード方法,音声の特徴抽出技術,1,位置エンコーディングは、Transformerなどのモデルで系列データの順序情報を保持するために、各位置を数値ベクトルに変換する技術です。,① 正解。順序情報保持が目的です。,② 圧縮技術とは異なります。,③ 画像エンコードは対象外です。,④ 音声特徴抽出とは異なります。
2章：生成AI,Attention Mechanismについて、以下の選択肢から適切なものを選べ。,入力中で重要な部分に重点的な重みを割り当て、文脈情報を強調する機構,出力層でのみ作用する機構,入力の全ての部分に均等な重みを与える機構,単にデータの順序を固定するための機構,1,Attention Mechanismは、入力中の重要な部分に重点的な重みを与え、情報の重要度を強調する手法です。,③ 正解。重要部分への注目が本質です。,② 出力層のみではありません。,① 均等な重み付けは行いません。,④ 順序固定が目的ではありません。
2章：生成AI,self-attention(自己注意力)について、以下の選択肢から適切なものを選べ。,同一系列内の各要素間の相互関係を計算する機構,外部データとの関連性を評価する機構,固定的な重みを用いるシンプルな注意機構,ランダムに注意を割り当てる手法,1,self-attentionは、同一系列内の要素間の関係性を動的に計算し、各要素が他からどの程度情報を得るかを決定する機構です。,① 正解。内部相互関係の計算が本質です。,② 外部データは対象外です。,③ 重みは動的に計算されます。,④ ランダムな割当ては行いません。
2章：生成AI,Transformerモデルについて、以下の選択肢から適切なものを選べ。,self-attentionを中核に並列処理が可能な革新的なニューラルネットワークアーキテクチャ,従来の再帰型ニューラルネットワーク,単純なフィードフォワードネットワーク,画像認識専用の畳み込みネットワーク,1,Transformerは、self-attention機構を核として、大規模な並列処理が可能な革新的なニューラルネットワークアーキテクチャです。,② 正解。self-attentionが核心です。,① 従来のRNNとは異なります。,③ 単純なFFNではありません。,④ CNNは画像認識向けです。
2章：生成AI,LSTM(長・短期記憶)について、以下の選択肢から適切なものを選べ。,長期依存性の学習を可能にする、内部にゲート機構を持つRNN,単純な順伝播型ネットワーク,入力の全要素を均等に扱うRNN,データ保存専用のネットワーク,1,LSTMは、内部にゲート機構を備え、従来のRNNの勾配消失問題を回避しながら長期依存性を学習できるモデルです。,① 正解。ゲート機構が特徴です。,② 単純な順伝播型ではありません。,③ 均等処理は行いません。,④ 保存専用ではありません。
2章：生成AI,シーケンスデータについて、以下の選択肢から適切なものを選べ。,時系列や文脈を持つ連続的なデータ列,順序に依存しない独立したデータ集合,ランダムに分散したデータ点の集まり,静的な画像データの集合,1,シーケンスデータは、時間的または論理的な順序を持つ連続したデータ列（例：テキスト、音声、時系列データ）です。,① 正解。連続性が重要です。,② 独立したデータではありません。,③ ランダムな集まりではありません。,④ 静的な画像データは対象外です。
2章：生成AI,隠れ層について、以下の選択肢から適切なものを選べ。,入力層と出力層の間に位置し、特徴抽出・変換を行う層,データの入力そのものを受け取る層,最終的な結果を生成する層,ネットワーク外部との通信を担当する層,1,隠れ層は、入力層と出力層の間で、データの特徴抽出や変換を行う中間層です。,① 正解。特徴抽出が主な役割です。,② 入力層とは異なります。,③ 出力層ではありません。,④ 通信は担当しません。
2章：生成AI,RNN(回帰型ニューラルネットワーク)について、以下の選択肢から適切なものを選べ。,過去の情報を内部に保持し、時系列データを順次処理するネットワーク,単純な順伝播型ネットワーク,画像データの特徴抽出に特化したネットワーク,大規模データを高速に処理するネットワーク,1,RNNは、内部状態を保持しながら時系列データを逐次的に処理することで、過去の情報を利用するネットワークです。,① 正解。内部状態保持が特徴です。,② 単純なFFNとは異なります。,③ 画像処理は主にCNNです。,④ 高速処理は主目的ではありません。
2章：生成AI,識別器について、以下の選択肢から適切なものを選べ。,入力データを特定カテゴリーに分類・判別するモデル,新しいデータを生成するモデル,データの保存や管理を行うシステム,データを他の形式に変換するシステム,1,識別器は、入力データを解析し、あらかじめ定義されたカテゴリーに分類・判別するモデルです。,② 正解。分類・判別が本質です。,① 生成は生成器の役割です。,③ 保存はシステムの機能です。,④ 変換は別の処理です。
2章：生成AI,生成機について、以下の選択肢から適切なものを選べ。,学習したデータ分布をもとに新たなデータサンプルを生成するモデル,識別器と同様にデータを分類するモデル,データの保存や検索を行うシステム,入力データを解析し分類するモデル,1,生成機（ジェネレーター）は、学習したデータの分布から新たなサンプルを生成するモデルです。,④ 正解。生成が本質です。,② 同様ではありません。,③ 保存・検索はシステム機能です。,① 分類は識別器の役割です。
2章：生成AI,GAN(敵対的生成ネットワーク)について、以下の選択肢から適切なものを選べ。,生成機と識別器が対立しながら学習し、本物に近いデータ生成を目指すモデル,単独でデータ生成を行うモデル,生成機と識別器が協力して学習するモデル,データ圧縮と再構成を行うモデル,1,GANは、生成機と識別器が敵対的に学習し合うことで、双方の性能向上を図り、より本物に近いデータを生成するモデルです。,③ 正解。敵対学習が特徴です。,② 単独では生成できません。,① 協力ではなく対立が本質です。,④ 圧縮再構成はVAEの特徴です。
